Type,Name,Display on form,Managed,AD group,HRApproval,ComplianceApproval,InfoSecApproval,Description
url,recreation and hobbies,No,No,,No,No,No,"Information, forums, associations, groups, and publications on recreations and hobbies."
url,reference and research,No,No,,No,No,No,"Personal, professional, or academic reference portals, materials, or services. Includes online dictionaries, maps, almanacs, census information, libraries, genealogy and scientific information."
url,religion,No,No,,No,No,No,"Information regarding various religions, related activities or events. Includes websites for religious organizations, officials and places of worship.Includes sites for fortune telling."
url,remote access,No,No,,No,No,No,Sites that provide tools or information to facilitate authorized remote access to private computers and attached networks.
url,scanning activity,No,No,,No,No,No,URLs associated with malicious campaigns conducted by adversaries. Such activities sometimes serve as indicators of compromised user machines that are probing for existing vulnerabilities. These actions are typically part of reconnaissance activities carried out by adversaries.
url,search engines,No,No,,No,No,No,"Sites that provide a search interface using keywords, phrases, or other parameters that may return information, websites, images or files as results."
url,sex education,No,No,,No,No,No,"Information on reproduction, sexual development, safe sex practices, sexually transmitted diseases, birth control, tips for better sex, as well as any related products or related paraphernalia. Includes websites for related groups, forums or organizations."
url,shareware and freeware,No,No,,No,No,No,"Sites that provide access to software, screensavers, icons, wallpapers, utilities, ringtones, themes or widgets for free and/or donations. Also includes open source projects."
url,shopping,No,No,,No,No,No,"Sites that facilitate the purchase of goods and services. Includes online merchants, websites for department stores, retail stores, catalogs, as well as sites that aggregate and monitor prices. Sites listed here should be online merchants that sell a variety of items (or whose main purpose is online sales). A webpage for a cosmetics company that also happens to do not manage online purchasing should be categorized with cosmetics and not shopping."
url,social networking,No,No,,No,No,No,"User communities and sites where users interact with each other, post messages, pictures, or otherwise communicate with groups of people. Does not include blogs or personal sites."
url,society,No,No,,No,No,No,"Topics relating to the general population, issues that impact a large variety of people, such as fashion, beauty, philanthropic groups, societies, or children. Also includes restaurant websites.Includes websites designed for children as well as restaurants."
url,sports,No,No,,No,No,No,"Information about sporting events, athletes, coaches, officials, teams or organizations, sports scores, schedules and related news, and any related paraphernalia. Includes websites regarding fantasy sports and other virtual sports leagues."
url,stock advice and tools,No,No,,No,No,No,"Information regarding the stock market, trading of stocks or options, portfolio management, investment strategies, quotes, or related news."
url,streaming media,No,No,,No,No,No,Sites that stream audio or video content for free and/or purchase.Includes online radio stations and other streaming music services.
url,swimsuits and intimate apparel,No,No,,No,No,No,"Sites that include information or images concerning swimsuits, intimate apparel or other suggestive clothing."
url,training and tools,No,No,,No,No,No,"Sites that provide online education and training and related materials.Can include driving/traffic schools, workplace training, etc."
url,translation,No,No,,No,No,No,"Sites that provide translation services, including both user input and URL translations. These sites can also do not manage users to circumvent filtering as the target page's content is presented within the context of the translator's URL."
url,travel,No,No,,No,No,No,"Information regarding travel tips, deals, pricing information, destination information, tourism, and related services. Includes websites for hotels, local attractions, casinos, airlines, cruise lines, travel agencies, vehicle rentals and sites that provide booking tools such as price monitors.Includes websites for local points of interest/tourist attractions such as the Eiffel Tower, the Grand Canyon, etc."
url,unknown,Yes,Yes,UG-unknown,No,No,Yes,"Sites that have not yet been identified by PAN-DB. If availability is critical to your business and you must do not manage the traffic, do not manage on unknown sites, apply the best practice Security profiles to the traffic, and investigate the do not manages."
url,weapons,No,No,,No,No,No,"Sales, reviews, descriptions of or instructions regarding weapons and their use."
url,web advertisements,No,No,,No,No,No,"Advertisements, media, content, and banners."
url,web hosting,No,No,,No,No,No,"Free or paid for hosting services for web pages, including information regarding web development, publication, promotion, and other methods to increase traffic."
url,web based email,Yes,Yes,UG-email,No,Yes,No,Any website that provides access to an email inbox and the ability to send and receive emails.
url,real time detection,No,No,,No,No,No,Detects New and Unknown Malicious Web-Based Attacks in real-time. This is a feature of Advanced URL Filtering.
url,ransomware,No,No,,No,No,No,"Websites known to host ransomware or malicious traffic involved in conducting ransomware campaigns that generally threaten to publish private data or keep access to specific data or systems blocked, usually by encrypting it, until the demanded ransom is paid."
